0.420	 1.496	 0.076
0.425	 1.491	 0.066
0.430	 1.396	 -0.034
0.435	 1.381	 -0.054
0.440	 1.519	 0.079
0.445	 1.415	 -0.030
0.450	 1.487	 0.037
0.455	 1.546	 0.091
0.460	 1.478	 0.018
0.465	 1.496	 0.031
0.470	 1.542	 0.072
0.475	 1.463	 -0.012
0.480	 1.565	 0.085
0.485	 1.465	 -0.020
0.490	 1.553	 0.063
0.495	 1.532	 0.037
0.500	 1.582	 0.082
0.505	 1.501	 -0.004
0.510	 1.453	 -0.057
0.515	 1.605	 0.090
0.520	 1.604	 0.084
0.525	 1.455	 -0.070
0.530	 1.606	 0.076
0.535	 1.563	 0.028
0.540	 1.526	 -0.014
0.545	 1.569	 0.024
0.550	 1.506	 -0.044
0.555	 1.612	 0.057
0.560	 1.521	 -0.039
0.565	 1.554	 -0.011
0.570	 1.515	 -0.055
0.575	 1.513	 -0.062
0.580	 1.535	 -0.045
0.585	 1.596	 0.011
0.590	 1.573	 -0.017
0.595	 1.529	 -0.066
0.600	 1.681	 0.081
0.605	 1.526	 -0.079
0.610	 1.535	 -0.075
0.615	 1.614	 -0.001
0.620	 1.672	 0.052
0.625	 1.722	 0.097
0.630	 1.717	 0.087
0.635	 1.672	 0.037
0.640	 1.617	 -0.023
0.645	 1.695	 0.050
0.650	 1.624	 -0.026
0.655	 1.614	 -0.041
0.660	 1.606	 -0.054
0.665	 1.682	 0.017
0.670	 1.619	 -0.051
0.675	 1.605	 -0.070
0.680	 1.726	 0.046
0.685	 1.610	 -0.075
0.690	 1.749	 0.059
0.695	 1.628	 -0.067
0.700	 1.749	 0.049
0.705	 1.620	 -0.085
0.710	 1.800	 0.090
0.715	 1.626	 -0.089
0.720	 1.724	 0.004
0.725	 1.660	 -0.065
0.730	 1.678	 -0.052
0.735	 1.795	 0.060
0.740	 1.787	 0.047
0.745	 1.776	 0.031
0.750	 1.843	 0.093
0.755	 1.783	 0.028
0.760	 1.812	 0.052
0.765	 1.684	 -0.081
0.770	 1.697	 -0.073
0.775	 1.779	 0.004
0.780	 1.696	 -0.084
0.785	 1.699	 -0.086
0.790	 1.731	 -0.059
0.795	 1.787	 -0.008
0.800	 1.864	 0.064
0.805	 1.820	 0.015
0.810	 1.861	 0.051
0.815	 1.725	 -0.090
0.820	 1.752	 -0.068
0.825	 1.925	 0.100
0.830	 1.771	 -0.059
0.835	 1.913	 0.078
0.840	 1.765	 -0.075
0.845	 1.945	 0.100
0.850	 1.761	 -0.089
0.855	 1.929	 0.074
0.860	 1.774	 -0.086
0.865	 1.766	 -0.099
0.870	 1.955	 0.085
0.875	 1.894	 0.019
0.880	 1.816	 -0.064
0.885	 1.818	 -0.067
0.890	 1.868	 -0.022
0.895	 1.978	 0.083
0.900	 1.964	 0.064
0.905	 1.877	 -0.028
0.910	 1.920	 0.010
0.915	 1.931	 0.016
0.920	 1.911	 -0.009
0.925	 1.962	 0.037
0.930	 1.850	 -0.080
0.935	 1.941	 0.006
0.940	 1.991	 0.051
0.945	 1.906	 -0.039
0.950	 2.048	 0.098
0.955	 1.970	 0.015
0.960	 2.036	 0.076
0.965	 2.015	 0.050
0.970	 1.996	 0.026
0.975	 1.882	 -0.093
0.980	 2.030	 0.050
0.985	 2.052	 0.067
0.990	 2.075	 0.085
0.995	 2.070	 0.075
1.000	 2.066	 0.066
